id_proposta;uf_proponente;municipio_beneficiario;orgao_superior;natureza_juridica;nr_proposta;ano_proposta;orgao_concedente;modalidade;proponente;nr_convenio;dt_assinatura;situacao;subsituacao;dt_inicio_vigencia;dt_fim_vigencia;valor_global;valor_repasse;valor_contrapartida;valor_empenhado;valor_desembolsado;valor_saldo_tesouro;vl_saldo_reman_convenente;vl_rendimento_aplicacao;vl_ingresso_contrapartida;valor_saldo_conta;ano_assinatura;nr_emenda;parlamentar;tipo_parlamentar;valor_emenda;valor_pago
129897;TO;ALVORADA;MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;Administração Pública Municipal;89785/2009;2009;MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;CONVENIO;MUNICIPIO DE ALVORADA;730661;31/12/2009;Convênio Anulado;;31/12/2009;28/04/2011;214400.0;200000.0;14400.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2009;;;;0.0;0.0
315471;TO;CHAPADA DA NATIVIDADE;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Municipal;68676/2010;2010;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONTRATO DE REPASSE;MUNICIPIO DE CHAPADA DA NATIVIDADE;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;16400004.0;OSVALDO REIS;INDIVIDUAL;243750.0;0.0
995654;TO;SÍTIO NOVO DO TOCANTINS;MINISTERIO DAS CIDADES;Administração Pública Municipal;31473/2015;2015;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE SITIO NOVO DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;26920023.0;JUNIOR COIMBRA;INDIVIDUAL;678920.24;0.0
498223;TO;PALMAS;MINISTERIO DO TURISMO;Administração Pública Estadual ou do Distrito Federal;57664/2011;2011;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;SECRETARIA DA INDUSTRIA, COMERCIO E SERVICOS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;71280011.0;BANCADA DE TOCANTINS;BANCADA;2500000.0;0.0
1531437;TO;COLINAS DO TOCANTINS;MINISTERIO DAS CIDADES;Administração Pública Municipal;364/2020;2020;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE COLINAS DO TOCANTINS;899762;02/07/2020;Prestação de Contas Concluída;;02/07/2020;31/01/2024;450533.38;432655.0;17878.38;432655.0;432655.0;31029.2;0.0;0.0;18980.36;0.0;2020;40710012.0;TIAGO DIMAS;INDIVIDUAL;432655.0;422950.91
705849;TO;PAU D'ARCO;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;Administração Pública Municipal;27146/2013;2013;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;CONTRATO DE REPASSE;MUNICIPIO DE PAU D'ARCO;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;23930013.0;LAUREZ DA ROCHA MOREIRA;INDIVIDUAL;250000.0;0.0
137830;TO;CAMPOS LINDOS;MINISTERIO DO ESPORTE;Administração Pública Municipal;97236/2009;2009;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE CAMPOS LINDOS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1830233;TO;CASEARA;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Administração Pública Municipal;33792/2022;2022;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;CONVENIO;MUNICIPIO DE CASEARA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
32637;TO;DIANÓPOLIS;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;Administração Pública Municipal;28501/2008;2008;MINISTÉRIO DA AGRICULTURA E PECUÁRIA;CONTRATO DE REPASSE;MUNICIPIO DE DIANOPOLIS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
170176;TO;BANDEIRANTES DO TOCANTINS;MINISTERIO DO TURISMO;Administração Pública Municipal;127289/2009;2009;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE BANDEIRANTES DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
